unique_id,ds,y,year,month,quarter,t,log_y,diff_1,diff_12,log_diff_1,log_diff_12
air_passengers,1949-01-01,112,1949,1,1,0,4.718498871295094,,,,
air_passengers,1949-02-01,118,1949,2,1,1,4.770684624465665,6.0,,0.05218575317057095,
air_passengers,1949-03-01,132,1949,3,1,2,4.882801922586371,14.0,,0.11211729812070548,
air_passengers,1949-04-01,129,1949,4,2,3,4.859812404361672,-3.0,,-0.022989518224698635,
air_passengers,1949-05-01,121,1949,5,2,4,4.795790545596741,-8.0,,-0.0640218587649306,
air_passengers,1949-06-01,135,1949,6,2,5,4.90527477843843,14.0,,0.10948423284168829,
air_passengers,1949-07-01,148,1949,7,3,6,4.997212273764115,13.0,,0.09193749532568507,
air_passengers,1949-08-01,148,1949,8,3,7,4.997212273764115,0.0,,0.0,
air_passengers,1949-09-01,136,1949,9,3,8,4.912654885736052,-12.0,,-0.08455738802806234,
air_passengers,1949-10-01,119,1949,10,4,9,4.77912349311153,-17.0,,-0.13353139262452274,
air_passengers,1949-11-01,104,1949,11,4,10,4.6443908991413725,-15.0,,-0.13473259397015713,
air_passengers,1949-12-01,118,1949,12,4,11,4.770684624465665,14.0,,0.12629372532429262,
air_passengers,1950-01-01,115,1950,1,1,12,4.74493212836325,-3.0,3.0,-0.025752496102414923,0.026433257068156024
air_passengers,1950-02-01,126,1950,2,1,13,4.836281906951478,11.0,8.0,0.09134977858822779,0.06559728248581287
air_passengers,1950-03-01,141,1950,3,1,14,4.948759890378168,15.0,9.0,0.11247798342669046,0.06595796779179786
air_passengers,1950-04-01,135,1950,4,2,15,4.90527477843843,-6.0,6.0,-0.04348511193973881,0.04546237407675768
air_passengers,1950-05-01,125,1950,5,2,16,4.8283137373023015,-10.0,4.0,-0.07696104113612812,0.03252319170556017
air_passengers,1950-06-01,149,1950,6,2,17,5.003946305945459,24.0,14.0,0.17563256864315768,0.09867152750702957
air_passengers,1950-07-01,170,1950,7,3,18,5.135798437050262,21.0,22.0,0.13185213110480287,0.13858616328614737
air_passengers,1950-08-01,170,1950,8,3,19,5.135798437050262,0.0,22.0,0.0,0.13858616328614737
air_passengers,1950-09-01,158,1950,9,3,20,5.062595033026967,-12.0,22.0,-0.07320340402329517,0.14994014729091454
air_passengers,1950-10-01,133,1950,10,4,21,4.890349128221754,-25.0,14.0,-0.17224590480521318,0.1112256351102241
air_passengers,1950-11-01,114,1950,11,4,22,4.736198448394496,-19.0,10.0,-0.15415067982725805,0.09180754925312318
air_passengers,1950-12-01,140,1950,12,4,23,4.941642422609304,26.0,22.0,0.2054439742148082,0.17095779814363876
air_passengers,1951-01-01,145,1951,1,1,24,4.976733742420574,5.0,30.0,0.03509131981127034,0.23180161405732402
air_passengers,1951-02-01,150,1951,2,1,25,5.0106352940962555,5.0,24.0,0.03390155167568132,0.17435338714477755
air_passengers,1951-03-01,178,1951,3,1,26,5.181783550292085,28.0,37.0,0.17114825619582952,0.2330236599139166
air_passengers,1951-04-01,163,1951,4,2,27,5.093750200806762,-15.0,28.0,-0.08803334948532271,0.1884754223683327
air_passengers,1951-05-01,172,1951,5,2,28,5.147494476813453,9.0,47.0,0.053744276006690406,0.3191807395111512
air_passengers,1951-06-01,178,1951,6,2,29,5.181783550292085,6.0,29.0,0.034289073478632304,0.17783724434662584
air_passengers,1951-07-01,199,1951,7,3,30,5.293304824724492,21.0,29.0,0.11152127443240722,0.1575063876742302
air_passengers,1951-08-01,199,1951,8,3,31,5.293304824724492,0.0,29.0,0.0,0.1575063876742302
air_passengers,1951-09-01,184,1951,9,3,32,5.214935757608986,-15.0,26.0,-0.0783690671155064,0.15234072458201897
air_passengers,1951-10-01,162,1951,10,4,33,5.087596335232384,-22.0,29.0,-0.12733942237660223,0.19724720701062992
air_passengers,1951-11-01,146,1951,11,4,34,4.983606621708336,-16.0,32.0,-0.10398971352404729,0.24740817331384068
air_passengers,1951-12-01,166,1951,12,4,35,5.111987788356544,20.0,26.0,0.1283811666482073,0.1703453657472398
air_passengers,1952-01-01,171,1952,1,1,36,5.14166355650266,5.0,26.0,0.02967576814611661,0.16492981408208607
air_passengers,1952-02-01,180,1952,2,1,37,5.19295685089021,9.0,30.0,0.05129329438755015,0.1823215567939549
air_passengers,1952-03-01,193,1952,3,1,38,5.262690188904886,13.0,15.0,0.06973333801467518,0.08090663861280056
air_passengers,1952-04-01,181,1952,4,2,39,5.198497031265826,-12.0,18.0,-0.06419315763905953,0.10474683045906374
air_passengers,1952-05-01,183,1952,5,2,40,5.209486152841421,2.0,11.0,0.010989121575595284,0.06199167602796862
air_passengers,1952-06-01,218,1952,6,2,41,5.384495062789089,35.0,40.0,0.1750089099476675,0.2027115124970038
air_passengers,1952-07-01,230,1952,7,3,42,5.438079308923196,12.0,31.0,0.05358424613410673,0.1447744841987033
air_passengers,1952-08-01,242,1952,8,3,43,5.488937726156687,12.0,43.0,0.05085841723349116,0.19563290143219447
air_passengers,1952-09-01,209,1952,9,3,44,5.342334251964811,-33.0,25.0,-0.1466034741918758,0.12739849435582506
air_passengers,1952-10-01,191,1952,10,4,45,5.25227342804663,-18.0,29.0,-0.09006082391818104,0.16467709281424625
air_passengers,1952-11-01,172,1952,11,4,46,5.147494476813453,-19.0,26.0,-0.10477895123317715,0.1638878551051164
air_passengers,1952-12-01,194,1952,12,4,47,5.267858159063328,22.0,28.0,0.12036368224987548,0.15587037070678456
air_passengers,1953-01-01,196,1953,1,1,48,5.278114659230517,2.0,25.0,0.010256500167188598,0.13645110272785654
air_passengers,1953-02-01,196,1953,2,1,49,5.278114659230517,0.0,16.0,0.0,0.0851578083403064
air_passengers,1953-03-01,236,1953,3,1,50,5.4638318050256105,40.0,43.0,0.18571714579509369,0.2011416161207249
air_passengers,1953-04-01,235,1953,4,2,51,5.459585514144159,-1.0,54.0,-0.004246290881451564,0.26108848287833286
air_passengers,1953-05-01,229,1953,5,2,52,5.43372200355424,-6.0,46.0,-0.02586351058991898,0.2242358507128186
