month,mean,median,std,min,max
1,241.75,223.0,101.03296041841537,112,417
2,235.0,214.5,89.6193972510213,118,391
3,270.1666666666667,251.5,100.55919408563055,132,419
4,267.0833333333333,252.0,107.37483904810317,129,461
5,271.8333333333333,252.0,114.73989029209687,121,472
6,311.6666666666667,289.5,134.21985582233984,135,535
7,351.3333333333333,333.0,156.8272548978266,148,622
8,351.0833333333333,320.0,155.7833334143835,148,606
9,302.4166666666667,285.5,123.95413985776669,136,508
10,266.5833333333333,251.5,110.74496363129553,119,461
11,232.83333333333334,220.0,95.1857832521923,104,390
12,261.8333333333333,253.5,103.09380841414935,118,432
